model,rank,sample_index,scenario_id,track_id,object_type,ADE,FDE,minADE,minFDE,miss,min_miss
linear,1,64,00d9f613-2637-4665-b640-15ca2219929a,102075,0,8.25650691986084,18.49669647216797,8.25650691986084,18.49669647216797,1,1
linear,2,38,00868013-e5b7-4b75-b30c-045bb4244627,88865,0,5.076606273651123,12.152246475219727,5.076606273651123,12.152246475219727,1,1
linear,3,7,00190202-a988-4f35-96b5-876869b4e0a3,147327,0,5.032103538513184,11.326018333435059,5.032103538513184,11.326018333435059,1,1
linear,4,83,01069700-248e-4881-843a-d41206389020,606,0,3.8844292163848877,10.518601417541504,3.8844292163848877,10.518601417541504,1,1
linear,5,92,0123336f-afc6-4704-9ed0-efc5bea121f0,3063,0,4.6085309982299805,9.299691200256348,4.6085309982299805,9.299691200256348,1,1
linear,6,63,00d95e80-1f97-48ef-8bf6-651e6c93678f,2956,0,3.126887559890747,8.973886489868164,3.126887559890747,8.973886489868164,1,1
linear,7,93,0124a476-262a-4afc-b7b5-3f4d41b413a8,144334,0,4.2927680015563965,8.682833671569824,4.2927680015563965,8.682833671569824,1,1
linear,8,84,01097a43-cccc-4ea1-97f7-c24bd10a8234,123913,0,3.4520208835601807,8.525263786315918,3.4520208835601807,8.525263786315918,1,1
linear,9,58,00b87c67-701e-40e4-a1b7-002717d0a4e5,159107,0,3.0950143337249756,8.514720916748047,3.0950143337249756,8.514720916748047,1,1
linear,10,75,00eb04c6-a59e-4ff4-9d26-325b629b212b,25265,0,3.343898296356201,8.211828231811523,3.343898296356201,8.211828231811523,1,1
diffusion_direct,1,53,00abf9e5-4bc0-4b90-a3da-9d858df18f7d,7592,0,30.84306526184082,58.8096809387207,30.193086624145508,58.49306869506836,1,1
diffusion_direct,2,13,00226ff5-0ee6-43b7-8568-ffd0f357db91,25627,0,26.442808151245117,53.29563903808594,26.259517669677734,52.487178802490234,1,1
diffusion_direct,3,68,00e14259-7419-4f92-9699-835bc4f62536,40102,0,26.60062026977539,51.71030807495117,26.37569808959961,50.072044372558594,1,1
diffusion_direct,4,42,0092658a-5705-4a48-9de0-195b430c03f8,57383,0,25.09611701965332,48.873863220214844,25.09611701965332,48.46212387084961,1,1
diffusion_direct,5,87,01154df6-1058-404c-91eb-e78992da5a38,19841,0,25.76162338256836,48.845237731933594,25.56344985961914,48.845237731933594,1,1
diffusion_direct,6,92,0123336f-afc6-4704-9ed0-efc5bea121f0,3063,0,24.743194580078125,48.30805587768555,24.37022590637207,47.946651458740234,1,1
diffusion_direct,7,43,00976f6f-59fa-4fad-ba0b-828cce074d97,32730,0,24.622716903686523,46.90761947631836,24.390661239624023,46.615631103515625,1,1
diffusion_direct,8,34,007471ae-7006-49ec-903d-a9465c4fa379,186690,0,23.884923934936523,46.567874908447266,23.74312400817871,44.9295768737793,1,1
diffusion_direct,9,8,00195499-be19-4cfb-867a-f6a78c43f51c,52958,0,22.64080047607422,44.97648620605469,22.64080047607422,42.9595947265625,1,1
diffusion_direct,10,20,00404e6d-ff66-460e-8f22-bc61fc9f7f9d,93160,0,22.537303924560547,44.929710388183594,21.95250129699707,42.43727493286133,1,1
diffusion_pca,1,53,00abf9e5-4bc0-4b90-a3da-9d858df18f7d,7592,0,19.474525451660156,36.943111419677734,19.474525451660156,36.943111419677734,1,1
