model,rank,sample_index,scenario_id,track_id,object_type,ADE,FDE,minADE,minFDE,miss,min_miss
linear,1,10,synthetic_scenario_000710,synthetic_track_000710,0,7.0143280029296875,16.691633224487305,7.0143280029296875,16.691633224487305,1,1
linear,2,23,synthetic_scenario_000723,synthetic_track_000723,0,6.333738803863525,15.816879272460938,6.333738803863525,15.816879272460938,1,1
linear,3,118,synthetic_scenario_000818,synthetic_track_000818,0,6.199265956878662,15.401214599609375,6.199265956878662,15.401214599609375,1,1
linear,4,29,synthetic_scenario_000729,synthetic_track_000729,0,5.867669105529785,15.146306037902832,5.867669105529785,15.146306037902832,1,1
linear,5,98,synthetic_scenario_000798,synthetic_track_000798,0,8.0338773727417,14.747511863708496,8.0338773727417,14.747511863708496,1,1
linear,6,51,synthetic_scenario_000751,synthetic_track_000751,0,6.508188724517822,14.512219429016113,6.508188724517822,14.512219429016113,1,1
linear,7,48,synthetic_scenario_000748,synthetic_track_000748,0,7.486995220184326,14.353489875793457,7.486995220184326,14.353489875793457,1,1
linear,8,22,synthetic_scenario_000722,synthetic_track_000722,0,5.560144424438477,14.352659225463867,5.560144424438477,14.352659225463867,1,1
linear,9,42,synthetic_scenario_000742,synthetic_track_000742,0,7.423211097717285,14.271595001220703,7.423211097717285,14.271595001220703,1,1
linear,10,137,synthetic_scenario_000837,synthetic_track_000837,0,5.440020561218262,13.987178802490234,5.440020561218262,13.987178802490234,1,1
